authors,title,journal,year,link,pdf
"Junhui Peng, Zhiyong Zhang",Simulating large-scale conformational changes of proteins by accelerating collective motions obtained from principal component analysis,J. Chem. Theory Comput.,2014,https://doi.org/10.1021/ct5000988,Peng_JCTC_2014.pdf
"Bin Wen*, Junhui Peng*, Xiaobing Zuo, Qingguo Gong, Zhiyong Zhang",Characterization of protein flexibility using small-angle x-ray scattering and amplified collective motion simulations,Biophys. J.,2014,https://doi.org/10.1016/j.bpj.2014.07.005,Wen_BJ_2014.pdf
"Junhui Peng, Zhiyong Zhang",Unraveling low-resolution structural data of large biomolecules by constructing atomic models with experiment-targeted parallel cascade selection simulations,Sci. Rep.,2016,https://doi.org/10.1038/srep29360,Peng_SR_2016.pdf
"Peng Cheng*, Junhui Peng*, Zhiyong Zhang",SAXS-oriented ensemble refinement of flexible biomolecules,Biophys. J.,2017,https://doi.org/10.1016/j.bpj.2017.02.024,Cheng_BJ_2017.pdf
"Junhui Peng, Wei Wang, Yeqing Yu, Hanlin Gu and Xuhui Huang",Clustering algorithms to Analyze Molecular Dynamics Simulation Trajectories for Complex Chemical and Biological Systems,Chinese J. Chem. Phys.,2018,https://doi.org/10.1063/1674-0068/31/cjcp1806147,Peng_CJCP_2018.pdf
"Junhui Peng*, Chuang Yuan*, Rongsheng Ma, Zhiyong Zhang",Backmapping from Multiresolution Coarse-Grained Models to Atomic Structures of Large Biomolecules by Restrained Molecular Dynamics Simulations using Bayesian Inference,J. Chem. Theory Comput.,2019,https://doi.org/10.1021/acs.jctc.9b00062,Peng_JCTC_2019.pdf
"Junhui Peng*, Chuang Yuan*, Xinfan Hua and Zhiyong Zhang",Molecular mechanism of histone variant H2A. B on stability and assembly of nucleosome and chromatin structures,Epigenetics Chromatin,2020,https://doi.org/10.1186/s13072-020-00351-x,Peng_EC_2020.pdf
"Junhui Peng, Nicolas Svetec, Li Zhao",Intermolecular interactions drive protein adaptive and co-adaptive evolution at both species and population levels,Mol. Biol. Evol.,2022,https://doi.org/10.1093/molbev/msab350,Peng_MBE_2022.pdf
"Junhui Peng, Li Zhao",The origin and structural evolution of de novo genes in Drosophila,Nat. Commun.,2024,https://doi.org/10.1038/s41467-024-45028-1,Peng_NC_2024.pdf
"Junhui Peng, Nicolas Svetec, Henrik Molina, Li Zhao",The Origin and Evolution of Sex Peptide and Sex Peptide Receptor Interactions,Mol. Biol. Evol.,2024,https://doi.org/10.1093/molbev/msae065,peng_mbe_2024.pdf
"Junhui Peng*, Bing-Jun Wang*, Nicolas Svetec#, Li Zhao#",Gene regulatory networks and essential transcription factors for de novo originated genes,Nat. Ecol. Evol.,2025,https://doi.org/10.1038/s41559-025-02747-y,Peng_NEE_2025.pdf
"Junhui Peng, Li Zhao",A predicted structural interactome reveals binding interference from intrinsically disordered regions,PLoS Comput. Biol.,2026,https://doi.org/10.1371/journal.pcbi.1013899,Peng_PCB_2026.pdf
